coal,gas,nuclear ,solar,wind
7.7525E+12,2.95491E+12,1655537253,415042195.4,99081705.71
7.01151E+12,2.99336E+12,1655537253,446007385.4,118303266.5
6.5833E+12,3.03859E+12,1657319316,501962026.9,142312083.9
5.06407E+12,3.19691E+12,1637716615,599746837.3,142529686.5
4.90024E+12,3.33827E+12,1438125471,708396626.7,143037425.8
4.6731E+12,3.40386E+12,1404266260,792600213.4,143690233.5
4.57628E+12,3.44118E+12,1404266260,832257386.6,144125438.7
4.48692E+12,3.4751E+12,1368624984,909398737,144488109.6
4.39011E+12,3.48754E+12,1370407048,952858652.8,144705712.2
4.33798E+12,3.53956E+12,1372189111,995775319.6,145140917.4
4.2635E+12,3.59158E+12,1373971175,1053359708,145648656.7
4.21882E+12,3.63003E+12,1356150537,1107684603,146083861.9
4.19648E+12,3.67413E+12,1320509262,1145712029,146446532.8
4.11456E+12,3.72163E+12,1324073389,1200036924,146809203.8
4.11456E+12,3.75781E+12,1309816879,1237521101,147099340.5
4.06988E+12,3.80531E+12,1309816879,1278808021,147244408.9
3.95445E+12,3.84941E+12,1311598943,1324440932,147824682.5
3.92466E+12,3.87655E+12,1311598943,1349973633,147969750.8
3.92466E+12,3.93536E+12,1290214178,1378765827,148332421.8
3.91349E+12,3.97267E+12,1293778305,1434177220,148840161.1
3.91349E+12,3.99868E+12,1295560369,1465142410,148912695.3
3.91349E+12,4.06427E+12,1297342433,1502083338,149420434.7
3.91349E+12,4.11177E+12,1299124496,1546086503,150435913.4
3.8204E+12,4.15926E+12,1300906560,1611276376,151668994.6
3.8204E+12,4.19319E+12,1302688624,1685158233,152539404.9
3.80178E+12,4.24521E+12,1286650050,1762299584,153772486.2
3.80178E+12,4.30628E+12,1286650050,1805216250,153917554.5
3.80178E+12,4.39448E+12,1286650050,1859541145,155513306.8
3.80178E+12,4.46346E+12,1288432114,1908433550,157399195.7
